model,num_nodes,num_processes,num_gpus,num_prompts,prompt_len,model_parallelism,data_parallelism,quantization,machine,inference_time,request_id,timestamp
falcon-7b,1,1,1,1,12,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.05180025100708,66c7b90e-3860-4162-8405-faad681a7688,2023-09-28 03:52:13
falcon-7b,1,1,1,1,88,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.5127770900726318,437dcc2e-b38c-46f6-932c-cc7828d00b46,2023-09-28 03:52:15
falcon-7b,1,1,1,1,131,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.7874584197998047,97adff7b-158c-4103-bea9-c8d66fa6706f,2023-09-28 03:52:17
falcon-7b,1,1,1,1,128,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.6011645793914795,3ff88d3f-6d52-4594-b5db-518a02527903,2023-09-28 03:52:22
falcon-7b,1,1,1,1,91,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.126570463180542,dc9644a1-700b-486e-a22c-a0587f7fd158,2023-09-28 03:52:28
falcon-7b,1,1,1,1,137,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.3632192611694336,7d05b6f6-4b62-4728-bbc4-9702b1662ca0,2023-09-28 03:52:32
falcon-7b,1,1,1,1,122,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,4.581163644790649,594e8ce3-6cb5-429b-bca7-884fdadf0d5a,2023-09-28 03:52:36
falcon-7b,1,1,1,1,59,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.00754714012146,44986e48-7566-4eaf-86bf-23b6938e44b3,2023-09-28 03:52:37
falcon-7b,1,1,1,1,85,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.951902866363525,6231f1be-d270-4086-a412-89008a04e089,2023-09-28 03:52:43
falcon-7b,1,1,1,1,96,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.1065409183502197,93404d56-d56b-4af7-a4d3-51871f74c123,2023-09-28 03:52:46
